,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
10206,2011-11-21 00:00:00,Portland State Vikings,Linfield,Peter W. Stott Center,101,64,Portland State Vikings,Linfield,REG,Peter W. Stott Center,,,,,,,,,,,,
10271,2011-12-03 00:00:00,Portland State Vikings,Walla Walla,Peter W. Stott Center,102,47,Portland State Vikings,Walla Walla,REG,Peter W. Stott Center,,,,,,,,,,,,
9223,2011-12-15 00:00:00,Portland State Vikings,Cal State Bakersfield,Peter W. Stott Center,91,87,Portland State Vikings,Cal State Bakersfield,REG,Peter W. Stott Center,,,,,,,,,,,,
68132,2011-12-18 00:00:00,Oregon State,Portland State Vikings,Gill Coliseum,101,68,Oregon State,Portland State Vikings,REG,Gill Coliseum,,,,,,,,,,,,
6530,2011-12-28 00:00:00,Montana,Portland State Vikings,Adams Center/Dahlberg Arena,75,64,Montana,Portland State Vikings,REG,Adams Center/Dahlberg Arena,,,,,,,,,,,,
7433,2011-12-30 00:00:00,Montana State,Portland State Vikings,Worthington Arena,86,73,Montana State,Portland State Vikings,REG,Worthington Arena,,,,,,,,,,,,
8216,2011-11-26 00:00:00,Murray State,Southern Miss Golden Eagles,,90,81,Murray State,Southern Miss Golden Eagles,REG,,,,,,,,,,,,,
6909,2012-02-18 00:00:00,Austin Peay,Youngstown State Penguins,Winfield Dunn Center,71,68,Austin Peay,Youngstown State Penguins,REG,Winfield Dunn Center,,,,,,,,,,,,
9523,2012-02-23 00:00:00,Sacramento State,Portland State Vikings,Hornets Nest,88,94,Portland State Vikings,Sacramento State,REG,Hornets Nest,,,,,,,,,,,,
8430,2012-03-10 00:00:00,Seattle,Portland State Vikings,KeyArena at Seattle Center,94,83,Seattle,Portland State Vikings,REG,KeyArena at Seattle Center,,,,,,,,,,,,
5390,2011-12-03 00:00:00,Saint Louis (23),Portland Pilots,Chaifetz Arena,73,53,Saint Louis (23),Portland Pilots,REG,Chaifetz Arena,,,,,,,,,,,,
5243,2011-12-28 00:00:00,Gonzaga,Portland Pilots,McCarthey Athletic Center,90,51,Gonzaga,Portland Pilots,REG,McCarthey Athletic Center,,,,,,,,,,,,
5363,2012-01-07 00:00:00,Portland Pilots,Pepperdine,Chiles Center,53,43,Portland Pilots,Pepperdine,REG,Chiles Center,,,,,,,,,,,,
70138,2012-01-12 00:00:00,San Francisco,Portland Pilots,War Memorial Gymnasium,104,70,San Francisco,Portland Pilots,REG,War Memorial Gymnasium,,,,,,,,,,,,
6313,2012-01-26 00:00:00,Portland Pilots,Gonzaga,Chiles Center,62,74,Gonzaga,Portland Pilots,REG,Chiles Center,,,,,,,,,,,,
9375,2011-11-15 00:00:00,Prairie View Panthers,Arlington Baptist,William J. Nicks Building,93,35,Prairie View Panthers,Arlington Baptist,REG,William J. Nicks Building,,,,,,,,,,,,
5227,2011-11-22 00:00:00,Brigham Young,Prairie View Panthers,Marriott Center,90,51,Brigham Young,Prairie View Panthers,REG,Marriott Center,,,,,,,,,,,,
5533,2011-11-29 00:00:00,South Carolina State Bulldogs,Georgia State,SHM Memorial Center,54,85,Georgia State,South Carolina State Bulldogs,REG,SHM Memorial Center,,,,,,,,,,,,
5370,2011-12-20 00:00:00,Prairie View Panthers,Stephen F. Austin,,53,50,Prairie View Panthers,Stephen F. Austin,REG,,,,,,,,,,,,,
5024,2012-01-07 00:00:00,Texas Southern,Prairie View Panthers,Health & Physical Education Arena,84,49,Texas Southern,Prairie View Panthers,REG,Health & Physical Education Arena,,,,,,,,,,,,
5524,2012-01-30 00:00:00,Alabama A&M,Prairie View Panthers,Elmore Health Science Building,64,54,Alabama A&M,Prairie View Panthers,REG,Elmore Health Science Building,,,,,,,,,,,,
79111,2012-03-08 00:00:00,Alcorn State,Prairie View Panthers,,103,79,Alcorn State,Prairie View Panthers,CTOURN,,,,,,,,,,,,,
10407,2011-11-11 00:00:00,Presbyterian Blue Hose,Montreat,Ross E.Templeton Center,103,73,Presbyterian Blue Hose,Montreat,REG,Ross E.Templeton Center,,,,,,,,,,,,
5630,2011-11-12 00:00:00,Duke (6),Presbyterian Blue Hose,Cameron Indoor Stadium,96,55,Duke (6),Presbyterian Blue Hose,REG,Cameron Indoor Stadium,,,,,,,,,,,,
6577,2012-02-11 00:00:00,Texas Tech Red Raiders,Oklahoma,United Spirit Arena,65,47,Texas Tech Red Raiders,Oklahoma,REG,United Spirit Arena,,,,,,,,,,,,
4876,2012-01-03 00:00:00,Mississippi,SMU Mustangs,C.M. Tad Smith Coliseum,50,48,Mississippi,SMU Mustangs,REG,C.M. Tad Smith Coliseum,,,,,,,,,,,,
4906,2012-02-18 00:00:00,Jacksonville State,Presbyterian Blue Hose,Pete Mathews Coliseum,67,48,Jacksonville State,Presbyterian Blue Hose,REG,Pete Mathews Coliseum,,,,,,,,,,,,
5801,2011-12-30 00:00:00,Virginia Cavaliers,Towson,John Paul Jones Arena,57,50,Virginia Cavaliers,Towson,REG,John Paul Jones Arena,,,,,,,,,,,,
8166,2012-03-03 00:00:00,Princeton Tigers,Brown,Jadwin Gymnasium,81,47,Princeton Tigers,Brown,REG,Jadwin Gymnasium,,,,,,,,,,,,
9610,2012-03-13 00:00:00,Evansville,Princeton Tigers,Ford Center,86,95,Princeton Tigers,Evansville,CBI,Ford Center,,,,,,,,,,,,
8075,2011-12-05 00:00:00,Providence Friars,Brown,Dunkin' Donuts Center,80,49,Providence Friars,Brown,REG,Dunkin' Donuts Center,,,,,,,,,,,,
6834,2011-12-27 00:00:00,St. John's (NY),Providence Friars,Carnesecca Arena,91,67,St. John's (NY),Providence Friars,REG,Carnesecca Arena,,,,,,,,,,,,
4094,2011-12-31 00:00:00,Georgetown (12),Providence Friars,Verizon Center,49,40,Georgetown (12),Providence Friars,REG,Verizon Center,,,,,,,,,,,,
7533,2012-01-25 00:00:00,Pittsburgh,Providence Friars,Petersen Events Center,86,74,Pittsburgh,Providence Friars,REG,Petersen Events Center,,,,,,,,,,,,
9657,2011-11-11 00:00:00,Purdue Boilermakers,Northern Illinois,Mackey Arena,96,34,Purdue Boilermakers,Northern Illinois,REG,Mackey Arena,,,,,,,,,,,,
9235,2011-11-17 00:00:00,Iona,Purdue Boilermakers,José Miguel Agrelot Coliseum,90,91,Purdue Boilermakers,Iona,REG,José Miguel Agrelot Coliseum,,,,,,,,,,,,
8072,2011-11-11 00:00:00,Santa Clara Broncos,UC-Merced,Leavey Center,80,48,Santa Clara Broncos,UC-Merced,REG,Leavey Center,,,,,,,,,,,,
6158,2011-12-10 00:00:00,Purdue Boilermakers,Eastern Michigan,Mackey Arena,61,36,Purdue Boilermakers,Eastern Michigan,REG,Mackey Arena,,,,,,,,,,,,
8188,2011-12-20 00:00:00,Purdue Boilermakers,IPFW,Mackey Arena,81,56,Purdue Boilermakers,IPFW,REG,Mackey Arena,,,,,,,,,,,,
4589,2011-11-21 00:00:00,Drexel,Winthrop Eagles,,68,45,Drexel,Winthrop Eagles,REG,,,,,,,,,,,,,
5925,2011-11-12 00:00:00,Dayton,Western Illinois Leathernecks,University of Dayton Arena,87,58,Dayton,Western Illinois Leathernecks,REG,University of Dayton Arena,,,,,,,,,,,,
6564,2012-02-02 00:00:00,Fairleigh Dickinson,Quinnipiac Bobcats,Rothman Center,48,65,Quinnipiac Bobcats,Fairleigh Dickinson,REG,Rothman Center,,,,,,,,,,,,
7273,2012-02-08 00:00:00,Quinnipiac Bobcats,Central Connecticut State,TD Bank Sports Center,72,44,Quinnipiac Bobcats,Central Connecticut State,REG,TD Bank Sports Center,,,,,,,,,,,,
7888,2011-11-16 00:00:00,Radford Highlanders,Central Pennsylvania College,Donald N. Dedmon Center,78,49,Radford Highlanders,Central Pennsylvania College,REG,Donald N. Dedmon Center,,,,,,,,,,,,
4780,2011-11-20 00:00:00,Marist,Radford Highlanders,,60,47,Marist,Radford Highlanders,REG,,,,,,,,,,,,,
4121,2011-11-23 00:00:00,Kentucky (2),Radford Highlanders,Rupp Arena,88,40,Kentucky (2),Radford Highlanders,REG,Rupp Arena,,,,,,,,,,,,
90133,2011-11-15 00:00:00,Texas,Rhode Island Rams,Frank Erwin Center,100,90,Texas,Rhode Island Rams,REG,Frank Erwin Center,,,,,,,,,,,,
8619,2011-11-25 00:00:00,Rhode Island Rams,Hofstra,Thomas M. Ryan Center,85,73,Rhode Island Rams,Hofstra,REG,Thomas M. Ryan Center,,,,,,,,,,,,
4615,2011-11-27 00:00:00,Rhode Island Rams,Cleveland State,Thomas M. Ryan Center,45,67,Cleveland State,Rhode Island Rams,REG,Thomas M. Ryan Center,,,,,,,,,,,,
8735,2012-01-28 00:00:00,Dayton,Rhode Island Rams,University of Dayton Arena,81,86,Rhode Island Rams,Dayton,REG,University of Dayton Arena,,,,,,,,,,,,
8185,2011-12-10 00:00:00,St. Bonaventure Bonnies,Canisius,Reilly Center,81,62,St. Bonaventure Bonnies,Canisius,REG,Reilly Center,,,,,,,,,,,,
7929,2012-02-25 00:00:00,Chattanooga,Samford Bulldogs,The McKenzie Arena,86,78,Chattanooga,Samford Bulldogs,REG,The McKenzie Arena,,,,,,,,,,,,
10981,2011-12-14 00:00:00,Rice Owls,Louisiana College,Tudor Fieldhouse,109,51,Rice Owls,Louisiana College,REG,Tudor Fieldhouse,,,,,,,,,,,,
4366,2012-02-11 00:00:00,Rice Owls,Southern Methodist,Tudor Fieldhouse,43,39,Rice Owls,Southern Methodist,REG,Tudor Fieldhouse,,,,,,,,,,,,
5112,2011-12-03 00:00:00,Wagner,St. Francis (NY) Terriers,Spiro Sports Center,90,50,Wagner,St. Francis (NY) Terriers,REG,Spiro Sports Center,,,,,,,,,,,,
9328,2011-11-30 00:00:00,William & Mary,Richmond Spiders,Kaplan Arena at William and Mary Hall,61,92,Richmond Spiders,William & Mary,REG,Kaplan Arena at William and Mary Hall,,,,,,,,,,,,
7081,2012-03-06 00:00:00,Rutgers,Villanova Wildcats,Madison Square Garden (IV),49,70,Villanova Wildcats,Rutgers,CTOURN,Madison Square Garden (IV),,,,,,,,,,,,
6624,2012-01-21 00:00:00,Southern Illinois-Edwardsville Cougars,Murray State (12),Sam Vadalabene Center,65,82,Murray State (12),Southern Illinois-Edwardsville Cougars,REG,Sam Vadalabene Center,,,,,,,,,,,,
10296,2012-01-25 00:00:00,Richmond Spiders,Fordham,Robins Center,102,58,Richmond Spiders,Fordham,REG,Robins Center,,,,,,,,,,,,
5818,2011-11-22 00:00:00,Jackson State,Tulsa Golden Hurricane,Lee E. Williams Athletics and Assembly Center,51,57,Tulsa Golden Hurricane,Jackson State,REG,Lee E. Williams Athletics and Assembly Center,,,,,,,,,,,,
6328,2011-12-19 00:00:00,Akron,Youngstown State Penguins,James A. Rhodes Arena,88,62,Akron,Youngstown State Penguins,REG,James A. Rhodes Arena,,,,,,,,,,,,
7233,2012-01-20 00:00:00,Iona,Rider Broncs,Hynes Athletics Center,91,71,Iona,Rider Broncs,REG,Hynes Athletics Center,,,,,,,,,,,,
9003,2012-01-22 00:00:00,Rider Broncs,Canisius,Alumni Gymnasium,89,65,Rider Broncs,Canisius,REG,Alumni Gymnasium,,,,,,,,,,,,
8419,2011-11-16 00:00:00,San Francisco Dons,San Jose State,War Memorial Gymnasium,83,81,San Francisco Dons,San Jose State,REG,War Memorial Gymnasium,,,,,,,,,,,,
6933,2011-12-29 00:00:00,Southern Illinois-Edwardsville,Tennessee Tech Golden Eagles,Sam Vadalabene Center,83,68,Southern Illinois-Edwardsville,Tennessee Tech Golden Eagles,REG,Sam Vadalabene Center,,,,,,,,,,,,
9219,2011-11-17 00:00:00,Rutgers Scarlet Knights,Sacred Heart,Louis Brown Athletic Center,91,75,Rutgers Scarlet Knights,Sacred Heart,REG,Louis Brown Athletic Center,,,,,,,,,,,,
8639,2011-12-29 00:00:00,Rutgers Scarlet Knights,Florida (10),Louis Brown Athletic Center,85,83,Rutgers Scarlet Knights,Florida (10),REG,Louis Brown Athletic Center,,,,,,,,,,,,
5422,2012-02-15 00:00:00,Notre Dame (23),Rutgers Scarlet Knights,Purcell Pavilion at the Joyce Center,71,53,Notre Dame (23),Rutgers Scarlet Knights,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
5231,2011-11-30 00:00:00,Cal Poly,Sacramento State Hornets,Robert A. Mott Gymnasium,77,51,Cal Poly,Sacramento State Hornets,REG,Robert A. Mott Gymnasium,,,,,,,,,,,,
6648,2011-12-10 00:00:00,Sacramento State Hornets,Cal State Maritime,,66,38,Sacramento State Hornets,Cal State Maritime,REG,,,,,,,,,,,,,
5733,2012-01-21 00:00:00,Montana,Sacramento State Hornets,Adams Center/Dahlberg Arena,85,56,Montana,Sacramento State Hornets,REG,Adams Center/Dahlberg Arena,,,,,,,,,,,,
7586,2012-01-14 00:00:00,Troy,South Alabama Jaguars,Trojan Arena,60,75,South Alabama Jaguars,Troy,REG,Trojan Arena,,,,,,,,,,,,
8929,2012-02-23 00:00:00,Sacramento State Hornets,Portland State,Hornets Nest,88,94,Portland State,Sacramento State Hornets,REG,Hornets Nest,,,,,,,,,,,,
7635,2011-11-17 00:00:00,Rutgers,Sacred Heart Pioneers,Louis Brown Athletic Center,91,75,Rutgers,Sacred Heart Pioneers,REG,Louis Brown Athletic Center,,,,,,,,,,,,
7820,2011-11-23 00:00:00,Lipscomb,Sacred Heart Pioneers,Moon Palace Resort,79,77,Lipscomb,Sacred Heart Pioneers,REG,Moon Palace Resort,,,,,,,,,,,,
65161,2011-12-19 00:00:00,Notre Dame,Sacred Heart Pioneers,Purcell Pavilion at the Joyce Center,106,65,Notre Dame,Sacred Heart Pioneers,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
8528,2012-01-07 00:00:00,Sacred Heart Pioneers,St. Francis (NY),William H. Pitt Center,84,99,St. Francis (NY),Sacred Heart Pioneers,REG,William H. Pitt Center,,,,,,,,,,,,
5521,2011-12-17 00:00:00,Wright State Raiders,Ohio,Ervin J. Nutter Center,54,82,Ohio,Wright State Raiders,REG,Ervin J. Nutter Center,,,,,,,,,,,,
8131,2012-01-28 00:00:00,Sacred Heart Pioneers,Mount St. Mary's,William H. Pitt Center,80,81,Mount St. Mary's,Sacred Heart Pioneers,REG,William H. Pitt Center,,,,,,,,,,,,
7257,2012-02-11 00:00:00,Bryant,Sacred Heart Pioneers,,46,72,Sacred Heart Pioneers,Bryant,REG,,,,,,,,,,,,,
91134,2012-02-16 00:00:00,Long Island University,Sacred Heart Pioneers,Wellness Center,103,91,Long Island University,Sacred Heart Pioneers,REG,Wellness Center,,,,,,,,,,,,
4306,2011-11-19 00:00:00,Bucknell,Saint Francis (PA) Red Flash,Sojka Pavilion,73,42,Bucknell,Saint Francis (PA) Red Flash,REG,Sojka Pavilion,,,,,,,,,,,,
5918,2011-12-28 00:00:00,Sam Houston State,Samford Bulldogs,Johnson Coliseum,74,58,Sam Houston State,Samford Bulldogs,REG,Johnson Coliseum,,,,,,,,,,,,
4320,2011-12-31 00:00:00,Drexel,Saint Francis (PA) Red Flash,Daskalakis Athletic Center,63,42,Drexel,Saint Francis (PA) Red Flash,REG,Daskalakis Athletic Center,,,,,,,,,,,,
7755,2012-01-28 00:00:00,Saint Francis (PA) Red Flash,Long Island University,Maurice Stokes Athletic Center,76,97,Long Island University,Saint Francis (PA) Red Flash,REG,Maurice Stokes Athletic Center,,,,,,,,,,,,
5166,2012-02-02 00:00:00,Mount St. Mary's,Saint Francis (PA) Red Flash,,64,51,Mount St. Mary's,Saint Francis (PA) Red Flash,REG,,,,,,,,,,,,,
4521,2012-02-23 00:00:00,Quinnipiac,Saint Francis (PA) Red Flash,TD Bank Sports Center,77,44,Quinnipiac,Saint Francis (PA) Red Flash,REG,TD Bank Sports Center,,,,,,,,,,,,
99149,2011-11-23 00:00:00,Iona,St. Joseph's Hawks,Hynes Athletics Center,104,99,Iona,St. Joseph's Hawks,REG,Hynes Athletics Center,,,,,,,,,,,,
9440,2012-02-29 00:00:00,St. Bonaventure,St. Joseph's Hawks,Reilly Center,98,93,St. Bonaventure,St. Joseph's Hawks,REG,Reilly Center,,,,,,,,,,,,
7279,2012-03-03 00:00:00,Xavier Musketeers,Charlotte,Cintas Center,72,63,Xavier Musketeers,Charlotte,REG,Cintas Center,,,,,,,,,,,,
5976,2012-02-11 00:00:00,La Salle,Saint Louis Billikens,Tom Gola Arena,51,59,Saint Louis Billikens,La Salle,REG,Tom Gola Arena,,,,,,,,,,,,
9884,2011-11-11 00:00:00,Saint Mary's (CA) Gaels,Fresno Pacific,McKeon Pavilion,98,58,Saint Mary's (CA) Gaels,Fresno Pacific,REG,McKeon Pavilion,,,,,,,,,,,,
5756,2011-11-15 00:00:00,Saint Mary's (CA) Gaels,Northern Iowa,,57,41,Saint Mary's (CA) Gaels,Northern Iowa,REG,,,,,,,,,,,,,
8475,2011-12-15 00:00:00,Saint Mary's (CA) Gaels,North Carolina A&T,McKeon Pavilion,84,45,Saint Mary's (CA) Gaels,North Carolina A&T,REG,McKeon Pavilion,,,,,,,,,,,,
9926,2011-12-29 00:00:00,Saint Mary's (CA) Gaels,Brigham Young,McKeon Pavilion,98,82,Saint Mary's (CA) Gaels,Brigham Young,REG,McKeon Pavilion,,,,,,,,,,,,
8490,2011-12-19 00:00:00,Virginia Tech Hokies,North Florida,Cassell Coliseum,84,55,Virginia Tech Hokies,North Florida,REG,Cassell Coliseum,,,,,,,,,,,,
5213,2012-02-18 00:00:00,Murray State (16),Saint Mary's (CA) Gaels,Regional Special Events Center,65,51,Murray State (16),Saint Mary's (CA) Gaels,REG,Regional Special Events Center,,,,,,,,,,,,
5300,2011-11-15 00:00:00,St. Peter's Peacocks,Robert Morris,Yanitelli Center,52,69,Robert Morris,St. Peter's Peacocks,REG,Yanitelli Center,,,,,,,,,,,,
4793,2012-01-15 00:00:00,USC Trojans,UCLA,Galen Center,47,66,UCLA,USC Trojans,REG,Galen Center,,,,,,,,,,,,
4816,2011-12-21 00:00:00,Utah State,St. Peter's Peacocks,Dee Glen Smith Spectrum,72,47,Utah State,St. Peter's Peacocks,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
4791,2011-11-14 00:00:00,Michigan (17),Towson Tigers,Crisler Arena,64,47,Michigan (17),Towson Tigers,REG,Crisler Arena,,,,,,,,,,,,
3896,2012-02-15 00:00:00,Fairfield,St. Peter's Peacocks,Arena at Harbor Yard,61,38,Fairfield,St. Peter's Peacocks,REG,Arena at Harbor Yard,,,,,,,,,,,,
6246,2012-02-26 00:00:00,Iona,St. Peter's Peacocks,Hynes Athletics Center,98,61,Iona,St. Peter's Peacocks,REG,Hynes Athletics Center,,,,,,,,,,,,
4226,2011-11-16 00:00:00,Notre Dame,Sam Houston State Bearkats,Purcell Pavilion at the Joyce Center,74,41,Notre Dame,Sam Houston State Bearkats,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
3898,2011-11-17 00:00:00,Illinois State,Southern Illinois-Edwardsville Cougars,Redbird Arena,68,38,Illinois State,Southern Illinois-Edwardsville Cougars,REG,Redbird Arena,,,,,,,,,,,,
4100,2011-11-26 00:00:00,Texas,Sam Houston State Bearkats,Frank Erwin Center,56,40,Texas,Sam Houston State Bearkats,REG,Frank Erwin Center,,,,,,,,,,,,
3781,2011-12-07 00:00:00,Texas A&M (22),Sam Houston State Bearkats,Reed Arena,64,37,Texas A&M (22),Sam Houston State Bearkats,REG,Reed Arena,,,,,,,,,,,,
4607,2011-12-22 00:00:00,Cleveland State,Sam Houston State Bearkats,Henry J. Goodman Arena,63,45,Cleveland State,Sam Houston State Bearkats,REG,Henry J. Goodman Arena,,,,,,,,,,,,
4087,2012-01-11 00:00:00,Texas-Arlington,Sam Houston State Bearkats,Texas Hall,66,40,Texas-Arlington,Sam Houston State Bearkats,REG,Texas Hall,,,,,,,,,,,,
6724,2012-01-28 00:00:00,Texas-San Antonio,Sam Houston State Bearkats,Convocation Center,78,66,Texas-San Antonio,Sam Houston State Bearkats,REG,Convocation Center,,,,,,,,,,,,
5075,2012-03-06 00:00:00,South Dakota State,Western Illinois Leathernecks,Sioux Falls Arena,52,50,South Dakota State,Western Illinois Leathernecks,CTOURN,Sioux Falls Arena,,,,,,,,,,,,
5825,2011-11-18 00:00:00,Jacksonville,Samford Bulldogs,Jacksonville Veteran's Memorial Arena,70,57,Jacksonville,Samford Bulldogs,REG,Jacksonville Veteran's Memorial Arena,,,,,,,,,,,,
4794,2012-01-18 00:00:00,McNeese State,Southeastern Louisiana Lions,Burton Coliseum,61,47,McNeese State,Southeastern Louisiana Lions,REG,Burton Coliseum,,,,,,,,,,,,
9098,2011-12-17 00:00:00,Samford Bulldogs,Spring Hill,Pete Hanna Center,90,64,Samford Bulldogs,Spring Hill,REG,Pete Hanna Center,,,,,,,,,,,,
5315,2012-02-28 00:00:00,Butler,Wright State Raiders,Hinkle Fieldhouse,70,52,Butler,Wright State Raiders,CTOURN,Hinkle Fieldhouse,,,,,,,,,,,,
8427,2011-11-30 00:00:00,San Diego State Aztecs,Creighton,Viejas Arena,83,85,Creighton,San Diego State Aztecs,REG,Viejas Arena,,,,,,,,,,,,
9485,2011-12-30 00:00:00,San Diego State Aztecs,Redlands,Viejas Arena,94,43,San Diego State Aztecs,Redlands,REG,Viejas Arena,,,,,,,,,,,,
8369,2012-01-05 00:00:00,San Diego State Aztecs,San Diego Christian,Viejas Arena,83,52,San Diego State Aztecs,San Diego Christian,REG,Viejas Arena,,,,,,,,,,,,
5777,2012-01-21 00:00:00,San Diego State Aztecs,Air Force,Viejas Arena,57,44,San Diego State Aztecs,Air Force,REG,Viejas Arena,,,,,,,,,,,,
6115,2011-11-26 00:00:00,Saint Francis (PA),Youngstown State Penguins,Maurice Stokes Athletic Center,59,60,Youngstown State Penguins,Saint Francis (PA),REG,Maurice Stokes Athletic Center,,,,,,,,,,,,
9916,2012-03-03 00:00:00,Texas Christian,San Diego State Aztecs,Daniel-Meyer Coliseum,92,98,San Diego State Aztecs,Texas Christian,REG,Daniel-Meyer Coliseum,,,,,,,,,,,,
4692,2011-11-27 00:00:00,San Diego Toreros,Tulane,,46,65,Tulane,San Diego Toreros,REG,,,,,,,,,,,,,
5334,2011-12-31 00:00:00,Brigham Young,San Diego Toreros,Marriott Center,88,52,Brigham Young,San Diego Toreros,REG,Marriott Center,,,,,,,,,,,,
7668,2012-03-01 00:00:00,Pepperdine,San Diego Toreros,Orleans Arena,54,76,San Diego Toreros,Pepperdine,CTOURN,Orleans Arena,,,,,,,,,,,,
9062,2011-12-04 00:00:00,San Francisco Dons,Pacific Union,War Memorial Gymnasium,90,36,San Francisco Dons,Pacific Union,REG,War Memorial Gymnasium,,,,,,,,,,,,
8432,2011-12-22 00:00:00,Holy Cross,San Francisco Dons,Hart Recreation Center,88,83,Holy Cross,San Francisco Dons,REG,Hart Recreation Center,,,,,,,,,,,,
7730,2011-12-31 00:00:00,San Francisco Dons,Loyola Marymount,War Memorial Gymnasium,76,77,Loyola Marymount,San Francisco Dons,REG,War Memorial Gymnasium,,,,,,,,,,,,
10504,2012-01-12 00:00:00,San Francisco Dons,Portland,War Memorial Gymnasium,104,70,San Francisco Dons,Portland,REG,War Memorial Gymnasium,,,,,,,,,,,,
11009,2011-11-22 00:00:00,San Jose State Spartans,Holy Names,The Event Center,109,71,San Jose State Spartans,Holy Names,REG,The Event Center,,,,,,,,,,,,
3701,2011-12-07 00:00:00,University of California,San Jose State Spartans,Haas Pavilion,81,36,University of California,San Jose State Spartans,REG,Haas Pavilion,,,,,,,,,,,,
4073,2011-12-10 00:00:00,San Jose State Spartans,Cal Poly,The Event Center,40,47,Cal Poly,San Jose State Spartans,REG,The Event Center,,,,,,,,,,,,
5020,2012-01-26 00:00:00,UCLA,Utah Utes,L. A. Sports Arena,76,49,UCLA,Utah Utes,REG,L. A. Sports Arena,,,,,,,,,,,,
4462,2012-03-08 00:00:00,Nevada,San Jose State Spartans,,54,44,Nevada,San Jose State Spartans,CTOURN,,,,,,,,,,,,,
5719,2011-11-15 00:00:00,UC-Santa Barbara,Santa Clara Broncos,The Thunderdome,89,56,UC-Santa Barbara,Santa Clara Broncos,REG,The Thunderdome,,,,,,,,,,,,
7924,2012-01-14 00:00:00,Brigham Young,Santa Clara Broncos,Marriott Center,95,78,Brigham Young,Santa Clara Broncos,REG,Marriott Center,,,,,,,,,,,,
4295,2011-12-18 00:00:00,Xavier Musketeers,Oral Roberts,Cintas Center,42,64,Oral Roberts,Xavier Musketeers,REG,Cintas Center,,,,,,,,,,,,
4586,2011-12-10 00:00:00,Savannah State Tigers,Georgia Tech,Tiger Arena,45,65,Georgia Tech,Savannah State Tigers,REG,Tiger Arena,,,,,,,,,,,,
8065,2011-12-12 00:00:00,Savannah State Tigers,Coastal Georgia,Tiger Arena,80,42,Savannah State Tigers,Coastal Georgia,REG,Tiger Arena,,,,,,,,,,,,
3392,2011-12-15 00:00:00,Wisconsin (14),Savannah State Tigers,Kohl Center,66,33,Wisconsin (14),Savannah State Tigers,REG,Kohl Center,,,,,,,,,,,,
4574,2011-12-22 00:00:00,Savannah State Tigers,Mount St. Mary's,Tiger Arena,45,41,Savannah State Tigers,Mount St. Mary's,REG,Tiger Arena,,,,,,,,,,,,
5566,2012-02-06 00:00:00,Savannah State Tigers,Texas A&M-Corpus Christi,Tiger Arena,55,49,Savannah State Tigers,Texas A&M-Corpus Christi,REG,Tiger Arena,,,,,,,,,,,,
